ID,First,Last,Institution,Website,Picture
1,Luke,Chang,Dartmouth College,http://cosanlab.com,chang.jpg
2,Janice,Chen,Johns Hopkins University,http://jchenlab.johnshopkins.edu/,chen.jpg
3,Michale,Fee,Massachusetts Institute of Technology,http://web.mit.edu/feelab/,fee.jpg
4,Yaroslav,Halchenko,Dartmouth College,http://centerforopenneuroscience.org/,halchenko.jpg
5,James,Haxby,Dartmouth College,http://haxbylab.dartmouth.edu/,haxby.jpg
6,Christopher,Honey,Johns Hopkins University,https://www.honeylab.org/,honey.jpg
7,Alex,Huth,University of Texas Austin,http://www.cs.utexas.edu/~huth/index.html,huth.png
8,Caleb,Kemere,Rice University,http://rnel.rice.edu,kemere.png
9,Jeremy,Manning,Dartmouth College,http://www.context-lab.com/,manning.png
10,Ida,Momennejad,Princeton University,https://www.momen-nejad.org/,momennejad.jpg
11,Emily,Mower-Provost,University of Michigan,http://web.eecs.umich.edu/~emilykmp/chai/,mowerprovost.png
12,Carolyn,Parkinson,University of California Los Angeles,http://csnlab.org,parkinson.jpg
13,Alireza,Soltani,Dartmouth College,http://sites.dartmouth.edu/ccnl,soltani.jpeg
14,Mark,Thornton,Princeton University,http://markallenthornton.com/,thornton.jpg
15,Matthijs,van der Meer,Dartmouth College,http://www.vandermeerlab.org/,mvdm.jpg
16,Thalia,Wheatley,Dartmouth College,http://www.wheatlab.com/,wheatley.jpg
